Sample_ID,Cell_type,Proportion,X_position,Y_position,type,Order
D5761.(3).|.069.|.NeuN+,Neuron,0.824083992,10355,22958,Cortical layer II/III - NeuN+,A
D5761.(3).|.069.|.NeuN+,Microglia,0.072331704,10355,22958,Cortical layer II/III - NeuN+,B
D5761.(3).|.069.|.NeuN+,Astrocyte,0.017580867,10355,22958,Cortical layer II/III - NeuN+,C
D5761.(3).|.069.|.NeuN+,Polydendrocyte,0.016650089,10355,22958,Cortical layer II/III - NeuN+,D
D5761.(3).|.069.|.NeuN+,Macrophage,0.027417802,10355,22958,Cortical layer II/III - NeuN+,E
D5761.(3).|.069.|.NeuN+,Endothelial Tip,0.000529317,10355,22958,Cortical layer II/III - NeuN+,F
D5761.(3).|.069.|.NeuN+,Endothelial Stalk,0.01913459,10355,22958,Cortical layer II/III - NeuN+,G
D5761.(3).|.069.|.NeuN+,Choroid Plexus,0.000105288,10355,22958,Cortical layer II/III - NeuN+,H
D5761.(3).|.069.|.NeuN+,Oligodendrocyte,0,10355,22958,Cortical layer II/III - NeuN+,I
D5761.(3).|.069.|.NeuN+,Ependymal,0.020894791,10355,22958,Cortical layer II/III - NeuN+,J
D5761.(3).|.069.|.NeuN+,Mural,0.00127156,10355,22958,Cortical layer II/III - NeuN+,K
D5761.(3).|.049.|.DNA,Neuron,0.334583426,5038,19845,Cortical layer II/III - Neuropil,A
D5761.(3).|.049.|.DNA,Microglia,0.217325339,5038,19845,Cortical layer II/III - Neuropil,B
D5761.(3).|.049.|.DNA,Astrocyte,0.220953033,5038,19845,Cortical layer II/III - Neuropil,C
D5761.(3).|.049.|.DNA,Polydendrocyte,0.048007784,5038,19845,Cortical layer II/III - Neuropil,D
D5761.(3).|.049.|.DNA,Macrophage,0.085920378,5038,19845,Cortical layer II/III - Neuropil,E
D5761.(3).|.049.|.DNA,Endothelial Tip,0,5038,19845,Cortical layer II/III - Neuropil,F
D5761.(3).|.049.|.DNA,Endothelial Stalk,0.058433892,5038,19845,Cortical layer II/III - Neuropil,G
D5761.(3).|.049.|.DNA,Choroid Plexus,0,5038,19845,Cortical layer II/III - Neuropil,H
D5761.(3).|.049.|.DNA,Oligodendrocyte,0.015461206,5038,19845,Cortical layer II/III - Neuropil,I
D5761.(3).|.049.|.DNA,Ependymal,0,5038,19845,Cortical layer II/III - Neuropil,J
D5761.(3).|.049.|.DNA,Mural,0.019314942,5038,19845,Cortical layer II/III - Neuropil,K
D5761.(3).|.059.|.DNA,Neuron,0.396710314,7386,21866,Cortical layer II/III - Neuropil,A
D5761.(3).|.059.|.DNA,Microglia,0.277270618,7386,21866,Cortical layer II/III - Neuropil,B
D5761.(3).|.059.|.DNA,Astrocyte,0.254401165,7386,21866,Cortical layer II/III - Neuropil,C
D5761.(3).|.059.|.DNA,Polydendrocyte,0,7386,21866,Cortical layer II/III - Neuropil,D
D5761.(3).|.059.|.DNA,Macrophage,0,7386,21866,Cortical layer II/III - Neuropil,E
D5761.(3).|.059.|.DNA,Endothelial Tip,0,7386,21866,Cortical layer II/III - Neuropil,F
D5761.(3).|.059.|.DNA,Endothelial Stalk,0.053865926,7386,21866,Cortical layer II/III - Neuropil,G
D5761.(3).|.059.|.DNA,Choroid Plexus,0,7386,21866,Cortical layer II/III - Neuropil,H
D5761.(3).|.059.|.DNA,Oligodendrocyte,0.009717835,7386,21866,Cortical layer II/III - Neuropil,I
D5761.(3).|.059.|.DNA,Ependymal,0,7386,21866,Cortical layer II/III - Neuropil,J
D5761.(3).|.059.|.DNA,Mural,0.008034143,7386,21866,Cortical layer II/III - Neuropil,K
D5761.(3).|.069.|.DNA,Neuron,0.405941337,10355,22958,Cortical layer II/III - Neuropil,A
D5761.(3).|.069.|.DNA,Microglia,0.279375221,10355,22958,Cortical layer II/III - Neuropil,B
D5761.(3).|.069.|.DNA,Astrocyte,0.222162645,10355,22958,Cortical layer II/III - Neuropil,C
D5761.(3).|.069.|.DNA,Polydendrocyte,0,10355,22958,Cortical layer II/III - Neuropil,D
D5761.(3).|.069.|.DNA,Macrophage,0.018379629,10355,22958,Cortical layer II/III - Neuropil,E
D5761.(3).|.069.|.DNA,Endothelial Tip,0.004101747,10355,22958,Cortical layer II/III - Neuropil,F
D5761.(3).|.069.|.DNA,Endothelial Stalk,0.058109767,10355,22958,Cortical layer II/III - Neuropil,G
D5761.(3).|.069.|.DNA,Choroid Plexus,0.000645545,10355,22958,Cortical layer II/III - Neuropil,H
D5761.(3).|.069.|.DNA,Oligodendrocyte,0.0017552,10355,22958,Cortical layer II/III - Neuropil,I
D5761.(3).|.069.|.DNA,Ependymal,0,10355,22958,Cortical layer II/III - Neuropil,J
D5761.(3).|.069.|.DNA,Mural,0.00952891,10355,22958,Cortical layer II/III - Neuropil,K
D5761.(3).|.045.|.Full.ROI,Neuron,0.594724423,6525,20614,Cortical layer IV,A
D5761.(3).|.045.|.Full.ROI,Microglia,0.054265627,6525,20614,Cortical layer IV,B
D5761.(3).|.045.|.Full.ROI,Astrocyte,0.115615068,6525,20614,Cortical layer IV,C
D5761.(3).|.045.|.Full.ROI,Polydendrocyte,0.019074603,6525,20614,Cortical layer IV,D
D5761.(3).|.045.|.Full.ROI,Macrophage,0.084379089,6525,20614,Cortical layer IV,E
D5761.(3).|.045.|.Full.ROI,Endothelial Tip,0.057203597,6525,20614,Cortical layer IV,F
D5761.(3).|.045.|.Full.ROI,Endothelial Stalk,0.036417234,6525,20614,Cortical layer IV,G
D5761.(3).|.045.|.Full.ROI,Choroid Plexus,0,6525,20614,Cortical layer IV,H
D5761.(3).|.045.|.Full.ROI,Oligodendrocyte,0.020484023,6525,20614,Cortical layer IV,I
D5761.(3).|.045.|.Full.ROI,Ependymal,0.004271223,6525,20614,Cortical layer IV,J
D5761.(3).|.045.|.Full.ROI,Mural,0.013565112,6525,20614,Cortical layer IV,K
D5761.(3).|.055.|.Full.ROI,Neuron,0.606620773,9157,22058,Cortical layer IV,A
D5761.(3).|.055.|.Full.ROI,Microglia,0.133581941,9157,22058,Cortical layer IV,B
D5761.(3).|.055.|.Full.ROI,Astrocyte,0.097867849,9157,22058,Cortical layer IV,C
D5761.(3).|.055.|.Full.ROI,Polydendrocyte,0.064904686,9157,22058,Cortical layer IV,D
D5761.(3).|.055.|.Full.ROI,Macrophage,0.026869815,9157,22058,Cortical layer IV,E
D5761.(3).|.055.|.Full.ROI,Endothelial Tip,0.023768194,9157,22058,Cortical layer IV,F
D5761.(3).|.055.|.Full.ROI,Endothelial Stalk,0.030322358,9157,22058,Cortical layer IV,G
D5761.(3).|.055.|.Full.ROI,Choroid Plexus,0.000148106,9157,22058,Cortical layer IV,H
D5761.(3).|.055.|.Full.ROI,Oligodendrocyte,0.006176618,9157,22058,Cortical layer IV,I
D5761.(3).|.055.|.Full.ROI,Ependymal,0.00973966,9157,22058,Cortical layer IV,J
D5761.(3).|.055.|.Full.ROI,Mural,0,9157,22058,Cortical layer IV,K
D5761.(3).|.065.|.Full.ROI,Neuron,0.627119486,4576,18267,Cortical layer IV,A
D5761.(3).|.065.|.Full.ROI,Microglia,0.127249169,4576,18267,Cortical layer IV,B
D5761.(3).|.065.|.Full.ROI,Astrocyte,0.116466817,4576,18267,Cortical layer IV,C
D5761.(3).|.065.|.Full.ROI,Polydendrocyte,0.050945819,4576,18267,Cortical layer IV,D
D5761.(3).|.065.|.Full.ROI,Macrophage,0.051941746,4576,18267,Cortical layer IV,E
D5761.(3).|.065.|.Full.ROI,Endothelial Tip,0,4576,18267,Cortical layer IV,F
D5761.(3).|.065.|.Full.ROI,Endothelial Stalk,0.02036562,4576,18267,Cortical layer IV,G
D5761.(3).|.065.|.Full.ROI,Choroid Plexus,0,4576,18267,Cortical layer IV,H
D5761.(3).|.065.|.Full.ROI,Oligodendrocyte,0.005911342,4576,18267,Cortical layer IV,I
D5761.(3).|.065.|.Full.ROI,Ependymal,0,4576,18267,Cortical layer IV,J
D5761.(3).|.065.|.Full.ROI,Mural,0,4576,18267,Cortical layer IV,K
D5761.(3).|.050.|.NeuN+,Neuron,0.894361911,5556,19538,Cortical layer IV - NeuN+,A
D5761.(3).|.050.|.NeuN+,Microglia,0.057967169,5556,19538,Cortical layer IV - NeuN+,B
D5761.(3).|.050.|.NeuN+,Astrocyte,0.020585005,5556,19538,Cortical layer IV - NeuN+,C
D5761.(3).|.050.|.NeuN+,Polydendrocyte,0.013104971,5556,19538,Cortical layer IV - NeuN+,D
D5761.(3).|.050.|.NeuN+,Macrophage,0.006624868,5556,19538,Cortical layer IV - NeuN+,E
D5761.(3).|.050.|.NeuN+,Endothelial Tip,0,5556,19538,Cortical layer IV - NeuN+,F
D5761.(3).|.050.|.NeuN+,Endothelial Stalk,0.005241367,5556,19538,Cortical layer IV - NeuN+,G
D5761.(3).|.050.|.NeuN+,Choroid Plexus,0,5556,19538,Cortical layer IV - NeuN+,H
D5761.(3).|.050.|.NeuN+,Oligodendrocyte,0.00211471,5556,19538,Cortical layer IV - NeuN+,I
D5761.(3).|.050.|.NeuN+,Ependymal,0,5556,19538,Cortical layer IV - NeuN+,J
D5761.(3).|.050.|.NeuN+,Mural,0,5556,19538,Cortical layer IV - NeuN+,K
D5761.(3).|.060.|.NeuN+,Neuron,0.699486925,7692,21379,Cortical layer IV - NeuN+,A
D5761.(3).|.060.|.NeuN+,Microglia,0.066347061,7692,21379,Cortical layer IV - NeuN+,B
D5761.(3).|.060.|.NeuN+,Astrocyte,0.034806758,7692,21379,Cortical layer IV - NeuN+,C
D5761.(3).|.060.|.NeuN+,Polydendrocyte,0.02235457,7692,21379,Cortical layer IV - NeuN+,D
D5761.(3).|.060.|.NeuN+,Macrophage,0.129300919,7692,21379,Cortical layer IV - NeuN+,E
D5761.(3).|.060.|.NeuN+,Endothelial Tip,0.017190157,7692,21379,Cortical layer IV - NeuN+,F
D5761.(3).|.060.|.NeuN+,Endothelial Stalk,0.016494398,7692,21379,Cortical layer IV - NeuN+,G
D5761.(3).|.060.|.NeuN+,Choroid Plexus,0,7692,21379,Cortical layer IV - NeuN+,H
D5761.(3).|.060.|.NeuN+,Oligodendrocyte,0,7692,21379,Cortical layer IV - NeuN+,I
D5761.(3).|.060.|.NeuN+,Ependymal,0.014019212,7692,21379,Cortical layer IV - NeuN+,J
D5761.(3).|.060.|.NeuN+,Mural,0,7692,21379,Cortical layer IV - NeuN+,K
D5761.(3).|.070.|.NeuN+,Neuron,0.893725035,10636,22526,Cortical layer IV - NeuN+,A
D5761.(3).|.070.|.NeuN+,Microglia,0.052688648,10636,22526,Cortical layer IV - NeuN+,B
D5761.(3).|.070.|.NeuN+,Astrocyte,0.014323834,10636,22526,Cortical layer IV - NeuN+,C
D5761.(3).|.070.|.NeuN+,Polydendrocyte,0,10636,22526,Cortical layer IV - NeuN+,D
D5761.(3).|.070.|.NeuN+,Macrophage,0.02983649,10636,22526,Cortical layer IV - NeuN+,E
D5761.(3).|.070.|.NeuN+,Endothelial Tip,0,10636,22526,Cortical layer IV - NeuN+,F
